qid,label,enwiki_title,domain,p31_classes,p31_qids,p910_categories,p910_count,wikipedia_categories,p31_count,category_count,p279_depth,wp_depth,p910_depth,p910_matched_category,overlap_count,matched_categories,overlap_ratio
Q32011,On the Town,On_the_Town_(film),films,film,Q11424,Films,1,1940s color films|1949 American films|1949 English-language films|1949 directorial debut films|1949 films|1949 musical films|American musical films|English-language musical films|Films about the United States Navy|Films based on musicals|Films directed by Gene Kelly|Films directed by Stanley Donen|Films produced by Arthur Freed|Films scored by Lennie Hayton|Films scored by Leonard Bernstein|Films set in New York City|Films set in amusement parks|Films set in natural history museums|Films set in the 1940s|Films shot in New York City|Films that won the Best Original Score Academy Award|Films with screenplays by Betty Comden and Adolph Green|Metro-Goldwyn-Mayer films|On the Town|United States National Film Registry films,1,25,0,1,1,Films,0,,0.0
Q32217,Soldier Boyz,Soldier_Boyz,films,film,Q11424,Films,1,1995 American films|1995 English-language films|1995 action films|1995 films|American action films|American independent films|English-language action films|Films about kidnapping|Films about rebels|Films directed by Louis Morneau|Films scored by Terry Plumeri|Films set in Los Angeles|Films set in Vietnam|Films shot in the Philippines,1,14,0,1,1,Films,0,,0.0
Q32228,The Nutty Professor,The_Nutty_Professor_(1963_film),films,film,Q11424,Films,1,1960s science fiction comedy films|1963 American films|1963 English-language films|1963 films|1963 romantic comedy films|1963 science fiction films|American mad scientist films|American romantic comedy films|American science fiction comedy films|American science fiction romance films|English-language romantic comedy films|English-language science fiction comedy films|English-language science fiction romance films|Films about educators|Films directed by Jerry Lewis|Films scored by Walter Scharf|Films set in universities and colleges|Films shot in Arizona|Films with screenplays by Bill Richmond (writer)|Films with screenplays by Jerry Lewis|Paramount Pictures films|Parody films based on Strange Case of Dr Jekyll and Mr Hyde|The Nutty Professor|United States National Film Registry films,1,24,0,1,1,Films,0,,0.0
Q32241,Incident at Loch Ness,Incident_at_Loch_Ness,films,film,Q11424,Films,1,2004 British films|2004 English-language films|2004 directorial debut films|2004 films|British mockumentary films|Films about filmmaking|Films directed by Zak Penn|Films scored by Henning Lohner|Films scored by Lorne Balfe|Films set in Loch Ness|Films with screenplays by Zak Penn|Loch Ness Monster in film|Werner Herzog,1,13,0,1,1,Films,0,,0.0
Q32303,The Hunt,The_Hunt_(2012_film),films,film,Q11424,Films,1,2010s Danish-language films|2010s psychological drama films|2012 Danish films|2012 drama films|2012 films|2012 independent films|Danish Christmas films|Danish drama films|Danish independent films|Fiction about false allegations of sex crimes|Films about bullying|Films about educators|Films about mental health|Films about pedophilia|Films directed by Thomas Vinterberg|Films set in Denmark|Films shot in Denmark|Films with screenplays by Tobias Lindholm,1,18,0,1,1,Films,0,,0.0
Q59317,Arsenic and Old Lace,Arsenic_and_Old_Lace_(film),films,film,Q11424,Films,1,1940s comedy thriller films|1940s crime comedy films|1940s crime thriller films|1940s screwball comedy films|1940s serial killer films|1944 American films|1944 English-language films|1944 black comedy films|1944 crime films|1944 films|American black-and-white films|American black comedy films|American comedy thriller films|American crime comedy films|American crime thriller films|American films based on plays|American screwball comedy films|American serial killer films|English-language black comedy films|English-language comedy thriller films|English-language crime comedy films|English-language crime thriller films|Film noir|Films about brothers|Films about disability in the United States|Films about plastic surgery|Films about poisonings|Films about sisters|Films directed by Frank Capra|Films scored by Max Steiner|Films set in Brooklyn|Films with screenplays by Julius J. Epstein|Films with screenplays by Philip G. Epstein|Gothic films|Psycho-biddy films|Warner Bros. films,1,36,0,1,1,Films,0,,0.0
Q59249,Hachi: A Dog's Tale,Hachi:_A_Dog%27s_Tale,films,film,Q11424,Films,1,2000s children's drama films|2009 American films|2009 English-language films|2009 drama films|2009 films|Affirm Films films|American children's drama films|American drama films|American remakes of Japanese films|Drama films based on actual events|English-language drama films|Films about dogs|Films about pets|Films directed by Lasse Hallström|Films scored by Jan A. P. Kaczmarek|Films set in 1998|Films set in 2008|Films set in Japan|Films set in Rhode Island|Films shot in Japan|Films shot in Rhode Island|Hachikō|Japan in non-Japanese culture|Stage 6 Films films,1,24,0,1,1,Films,0,,0.0
Q59318,Johnny Guitar,Johnny_Guitar,films,film,Q11424,Films,1,1950s feminist films|1954 American films|1954 English-language films|1954 Western (genre) films|1954 films|1954 independent films|American Western (genre) films|American independent films|English-language Western (genre) films|Films about bank robbery|Films based on American novels|Films directed by Nicholas Ray|Films scored by Victor Young|Films set in Arizona|Republic Pictures films|Revisionist Western (genre) films|Trucolor films|United States National Film Registry films,1,18,0,1,1,Films,0,,0.0
Q24151,Alligator II – The Mutation,Alligator_II:_The_Mutation,films,film,Q11424,Films,1,1991 American films|1991 English-language films|1991 films|1991 horror films|American monster movies|American sequel films|English-language horror films|Films about crocodilians|Films based on urban legends|Giant monster films|New Line Cinema films,1,11,0,1,1,Films,0,,0.0
Q24154,Van Diemen's Land,Van_Diemen%27s_Land_(film),films,film,Q11424,Films,1,2000s horror thriller films|2009 English-language films|2009 films|2009 horror films|2009 psychological thriller films|Australian epic films|Australian horror thriller films|Australian survival films|English-language horror thriller films|Films about cannibalism|Films about prison escapes|Films set in 1822|Films set in Tasmania|Films set in colonial Australia|Films shot in Australia|Films shot in Tasmania,1,16,0,1,1,Films,0,,0.0
